Year,CO2_emission
1973,4735.171
1974,4574.959
1975,4439.053
1976,4706.823
1977,4846.958
1978,4897.086
1979,4965.617
1980,4771.45
1981,4645.912
1982,4405.16
1983,4377.38
1984,4613.834
1985,4600.23
1986,4607.659
1987,4765.956
1988,4984.287
1989,5070.117
1990,5038.635
1991,4992.61
1992,5087.019
1993,5184.639
1994,5261.38
1995,5322.762
1996,5509.796
1997,5584.047
1998,5635.45
1999,5687.758
2000,5867.876
2001,5761.304
2002,5804.409
2003,5853.478
2004,5970.185
2005,5993.317
2006,5909.991
2007,6000.47
2008,5808.948
2009,5385.595
2010,5581.906
2011,5444.693
2012,5231.965
2013,5360.46
2014,5406.42
2015,5259.106
